address,group,roi,total_spent,total_sold,leftover_value,trade_count,yes_shares_bought,yes_shares_sold,yes_spent,yes_sold,yes_leftover_value,no_shares_bought,no_shares_sold,no_spent,no_sold,no_leftover_value
0x39828b3f15d24a1bb6816b17f0d0a11262bc6e7a,B,-1.0,146.949,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,5600.0,0.0,146.949,0.0,0.0
0x39c18a5a8835833a2400472d482f04c319ce89d9,A,-0.0010351966873706005,9.66,9.65,0.0,2,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.66,9.65,0.0
0x3a053d3720e4c0381b9ccd3dda4afd5be7032dda,B,1.2737392769230507,1783.81402,4055.9280000000003,0.0,6,5666.24,5666.24,1712.18202,3966.3880000000004,0.0,8954.0,8954.0,71.632,89.54,0.0
0x3a366494e79b1b3c0faafa15862bb1ee19001214,B,-0.07616070889751451,22.999996,21.2483,0.0,6,0.0,0.0,0.0,0.0,0.0,159.194903,30.3,22.999996,21.2483,0.0
0x3a36a1e32eb4c0fb70e265a93d66fdb9223f454b,B,1.338139870223504,187.245,437.805,0.0,3,0.0,0.0,0.0,0.0,0.0,705.0,705.0,187.245,437.805,0.0
0x3a54121496232e110604d17010e1a5d95446bd1d,B,-0.0010008534161737928,24.769861,24.73557,0.0095,2,24.8195,24.81,24.769861,24.73557,0.0095,0.0,0.0,0.0,0.0,0.0
0x3a5d49e7115cd6b069ef9256904343a8541e93ab,B,1.0513886590085753,40.189996,82.44304,0.002262,5,83.362262,83.36,40.189996,82.44304,0.002262,0.0,0.0,0.0,0.0,0.0
0x3a8651c42ac19aa3e3141531a298abc72f51dea8,A,-0.19961788586846912,1204.873,964.358799,0.0,47,0.0,0.0,0.0,0.0,0.0,1623.0,1472.99739,1204.873,964.358799,0.0
0x3b2c700021065479900ebec1bf961f4ed1e3d0d4,A,0.0,370.752,370.752,0.0,8,0.0,0.0,0.0,0.0,0.0,384.0,384.0,370.752,370.752,0.0
0x3b3fb453ebd7445da93fbfb4ef5e4d036af883db,A,0.2,75.0,90.0,0.0,2,0.0,0.0,0.0,0.0,0.0,100.0,100.0,75.0,90.0,0.0
